loan_id,customer_ref,loan_type,amount_requested,amount_approved,interest_rate,term_months,application_date,status,credit_score_at_application
LN5024,500703,Business Loan,361377.95,341530.92,12.81,48,07/10/2025,Approved,571
LN5345,500023,Personal Loan,155020.75,,NULL,36,08/10/2022,Denied,630
LN5380,adam.fowler@gmail.com,NULL,394044.93,276897.68,5.25,24,20230816,Approved,692
LN5474,500472,   Student Loan   ,279968.49,,4.15,360,2022-09-25,Pending Review,848
LN5212,peter.brooks@hotmail.com,Business Loan,242422.59,,5.2,12,"May 27, 2024",Withdrawn,604
LN5192,500013,Mortgage,250580.37,197065.07,7.67,48,07-11-2024,Approved,531
LN5406,ashley.gonzales@gmail.com,Personal Loan,75675.81,75343.49,N/A,60,10-09-2025,Approved,575
LN5346,500378,Student Loan,"$200,743.59",,3.89,48,"Jul 04, 2024",Denied,691
LN5381,500707,Business Loan,397291.89,"299,087.33",8.07,12,"May 06, 2024",Approved,526
LN5331,matthew.arnold@gmail.com,aUTO lOAN,182492.37,168633.72,7.43,60,03/06/2023,Approved,660
LN5578,500505,Mortgage,131474.56,118028.32,13.55,48,2026-06-13,Approved,798
ln5307,500440,PERSONAL LOAN,262712.18,211336.78,10.22,180,n/a,Approved,782
ln5445,angela.perez@hotmail.com,   Auto Loan   ,156011.3,,13.27,360,20250505,Pending Review,699
LN5324,500746,Student Loan,110122.47,85431.65,8.18,24,03/24/2026,Approved,794
LN5217,debra.frost@yahoo.com,Student Loan,422984.83,393541.79,7.9,180,11/10/2022,Approved,647
LN5206,500065,Student Loan,241556.26,171941.65,N/A,12,20241202,Approved,774
LN5014,500208,Personal Loan,414258.89,,12.52,360,"Jan 01, 2024",Pending Review,802
LN5338,ronald.brown@yahoo.com,Mortgage,292509.15,,13.32,36,07/02/2025,Denied,741
LN5313,jason.buchanan@hotmail.com,Mortgage,178970.06,166402.06,7.45,36,2024-04-27,Approved,591
LN5572,500021,Personal Loan,166353.35,,4.27,120,2025-10-05,Pending Review,533
LN5148,500330,Student Loan,27066.95 usd,24837.18,13.6,180,03/01/2024,Approved,791
ln5208,500663,Auto Loan,349904.33,,8.07,360,08/03/2023,Denied,705
LN5062,500603,Auto Loan,"366,662.64",277420.03,14.65,120,2025-07-24,Approved,758
LN5251,500518,Auto Loan,287834.2,208516.1,9.91,12,05/28/2026,Approved,780
LN5368,500579,Personal Loan,154620.51,139841.88,6.45,12,19/06/2025,Approved,590
LN5443,marcus.harris@gmail.com,Business Loan,26156.43,22153.21,12.41,24,"May 02, 2025",Approved,672
LN5006,500544,Mortgage,282328.16,,6.24,360,25/03/2024,Denied,691
LN5428,adam.gonzalez@yahoo.com,Business Loan,65413.36,52443.99,10.6,60,02/21/2023,Approved,827
LN5182,500407,Business Loan,342286.58,,6.72,12,20251013,Pending Review,631
LN5466,heather.mason@gmail.com,Business Loan,150331.85,107983.5,5.15,N/A,22/12/2022,Approved,745
LN5369,500095,Auto Loan,139070.39,129821.38,12.28,48,16-09-2022,Approved,816
LN5283,andrew.martin@hotmail.com,Business Loan,328627.16,,10.78,48,2025-01-04,Denied,N/A
LN5292,jordan.andrews@yahoo.com,Auto Loan,100164.59,96652.75,5.48,60,2024-08-26,Approved,531
LN5168,500608,Personal Loan,225086.42,184680.17,8.37,48,25-01-2024,Approved,592
LN5250,500691,Student Loan,171623.45,"$164,565.21",5.16,180,28/12/2024,Approved,732
   LN5503   ,500567,Auto Loan,146328.18,146167.76,13.49,N/A,20260301,Approved,642
LN5272,500546,Student Loan,290982.24,,10.43,360,2022-09-14,Pending Review,784
LN5526,500621,Business Loan,318188.05,,6.6,48,04/01/2025,Pending Review,560
ln5277,500717,Personal Loan,269209.75,,7.08,120,2025-06-26,Withdrawn,843
LN5563,500184,Mortgage,302248.61,267818.12,5.15,48,"May 22, 2024",Approved,804
LN5167,500497,Personal Loan,187653.52,,9.32,24,2023-01-24,Withdrawn,737
LN5493,500020,Student Loan,110471.94,,7.52,N/A,31-05-2023,Pending Review,725
LN5529,adam.fowler@gmail.com,Auto Loan,241787.59,192501.4,9.45,120,27/05/2023,Approved,581
LN5360,500032,Personal Loan,241638.3,,4.66,N/A,2024-02-25,Denied,669
LN5400,mary.reeves@gmail.com,Mortgage,364415.61,,14.42,36,20240917,Denied,727
LN5013,500248,pERSONAL lOAN,133236.08,,5.14,360,06/30/2024,Denied,691
LN5222,500652,Personal Loan,283961.9,,N/A,24,21-02-2023,Denied,678
LN5235,500668,Mortgage,NULL,,8.78,12,2024-03-08,Pending Review,731
LN5536,500091,Mortgage,29809.12,,13.41,120,"May 16, 2025",Withdrawn,593
LN5175,500134,Student Loan,82866.93,76054.85,12.64,48,2024-02-16,Approved,652
LN5409,500421,Auto Loan,399575.91,368380.9,9.17,12,01/03/2026,Approved,832
LN5267,steven.ferguson@gmail.com,Mortgage,241962.67,171909.43,5.9,60,20260323,Approved,697
LN5186,alyssa.franco@gmail.com,Mortgage,394235.21,343957.66,6.15,360,08/05/2024,Approved,758
LN5036,500018,Personal Loan,441033.53,,4.74,180,2023-10-14,Denied,551
LN5599,500185,Business Loan,87829.73,71319.84,9.47,36,2023-10-02,Approved,580
LN5616,500667,STUDENT LOAN,346940.08,299289.98,10.45,12,2023-03-26,Approved,647
LN5097,500055,Auto Loan,359029.98,,9.83,36,06/05/2024,Withdrawn,605
LN5068,500439,Auto Loan,200605.72,149772.89,12.85,360,11/15/2024,Approved,624
LN5141,500363,Business Loan,100485.26,77170.52,7.59,12,01-05-2026,Approved,UNKNOWN
LN5229,500673,Student Loan,140768.91,140700.38,10.74,36,04/22/2025,Approved,555
LN5396,kathryn.stone@hotmail.com,Personal Loan,440222.25,402070.19,6.94,180,22-03-2023,Approved,734
LN5297,500668,n/a,123889.15,"100,284.70",4.97,360,03-09-2025,Approved,568
LN5446,colleen.turner@gmail.com,Business Loan,262372.19,243230.34,4.89,180,2023-07-03,Approved,796
LN5414,500096,Student Loan,77307.17,73889.92,4.95,180,25/01/2024,Approved,765
LN5042,500493,Mortgage,56294.26,,10.14,180,25/12/2025,Denied,711
LN5120,500403,Student Loan,181217.37,,7.4,48,2025-01-17,Denied,559
LN5075,500566,Personal Loan,368674.52,297887.77,7.03,120,"Nov 12, 2025",Approved,754
LN5645,DEBRA.EVANS@GMAIL.COM,Mortgage,46794.0,,8.4,180,"Nov 01, 2022",Withdrawn,794
LN5584,laura.vega@yahoo.com,NULL,76133.44,57280.65,4.01,180,20221021,Approved,658
LN5248,500390,Auto Loan,2578.56,,14.88,60,"Apr 03, 2023",Pending Review,740
ln5615,500177,Auto Loan,199404.82,140822.14,12.67,48,04-06-2026,Approved,767
LN5371,500248,Student Loan,17322.56,,11.07,24,05-06-2024,Pending Review,839
LN5577,500667,Business Loan,186271.32,,10.68,180,11/13/2024,  Denied   ,UNKNOWN
LN5262,500438,Mortgage,272905.65,,4.88,180,15/04/2024,Pending Review,n/a
LN5255,500341,Mortgage,396533.73,,6.64,36,2024-08-01,Denied,692
LN5370,500253,Mortgage,56829.66,,10.61,36,21/05/2023,Pending Review,786
LN5590,500272,Business Loan,35949.55,,7.56,36,20/03/2024,Withdrawn,518
LN5084,500160,Business Loan,326482.77,"248,071.79",9.02,36,20251128,Approved,531
LN5003,500158,Business Loan,82816.11,73436.58,7.1,36,20260725,  Approved   ,567
LN5484,500649,Auto Loan,66071.07,58957.09,8.46,36,13-08-2022,Approved,842
LN5448,aaron.wise@gmail.com,Student Loan,367238.99,301198.21,14.69,12,15-04-2025,Approved,UNKNOWN
LN5227,michael.robertson@hotmail.com,Student Loan,"5,577.04",5497.03,9.4,36,2023-03-04,Approved,743
LN5562,holly.chandler@gmail.com,Mortgage,65068.88,,7.45,24,19-01-2025,Denied,766
LN5115,elizabeth.martin@yahoo.com,Business Loan,415971.25,340420.88,7.92,24,"Apr 28, 2026",   Approved   ,522
LN5270,jennifer.smith@yahoo.com,Mortgage,27923.93,26153.27,4.12,120,"Dec 31, 2024",Approved,561
LN5103,gavin.sanchez@yahoo.com,Student Loan,364190.11,267375.98,14.57,unknown,2022-09-18,Approved,849
ln5327,500293,Personal Loan,30534.89,,12.19,48,"May 30, 2023",Pending Review,741
LN5090,EDWARD.ANDREWS@YAHOO.COM,Mortgage,152617.58,143070.99,6.36,360,07/06/2023,Approved,523
LN5560,500614,Auto Loan,357621.01,,3.68,60,20240518,Denied,608
LN5621,500289,Student Loan,68760.73,56393.92,12.07,360,20260319,Approved,685
LN5392,michael.case@gmail.com,Mortgage,437317.71,343239.16,8.65,120,2024-06-21,Approved,690
LN5480,500027,Personal Loan,30080.75,,7.61,36,20221213,Pending Review,529
LN5354,500002,Business Loan,"$224,607.94",185509.5,8.03,48,18-09-2025,Approved,611
LN5556,debra.gross@gmail.com,Student Loan,320028.71,,6.13,360,02/18/2026,Denied,845
LN5246,kevin.madden@gmail.com,Student Loan,unknown,113515.37,8.67,36,09/11/2025,Approved,689
LN5091,500092,Student Loan,74141.1,62422.35,10.72,12,08-01-2024,Approved,634
LN5643,500196,Auto Loan,294681.38,231102.17,6.22,360,"Jun 26, 2026",Approved,790
LN5541,500748,Auto Loan,40147.35,,13.29,180,20221229,Denied,657
LN5089,500005,Business Loan,253071.23,,14.32,360,2024-10-24,Pending Review,727
LN5555,500362,mORTGAGE,406001.8,399235.56,12.34,48,20240831,Approved,536
LN5011,500508,Personal Loan,322056.16,,6.94,36,20230924,Denied,801
LN5239,500439,Student Loan,79934.06,66097.93,4.55,60,22/12/2023,Approved,534
LN5431,blake.rivers@yahoo.com,Mortgage,n/a,,13.15,36,-,Pending Review,741
LN5112,500090,Student Loan,147147.83,,6.84,36,"Oct 08, 2023",Denied,821
LN5087,500181,Personal Loan,293605.26,,6.18,60,08/22/2023,Denied,764
LN5106,500050,Business Loan,168226.73,151365.61,10.96,12,22-02-2024,   Approved   ,718
LN5174,500709,Business Loan,42755.01,,11.1,48,07/13/2025,Denied,735
LN5437,500233,Student Loan,37926.62,,7.94,180,17/03/2023,Denied,788
LN5185,blake.rivers@yahoo.com,Auto Loan,"$357,689.23",,12.66,120,01/09/2026,Denied,589
LN5285,500088,Student Loan,276995.02,228388.13,11.89,120,07/11/2024,Approved,597
LN5427,500259,Personal Loan,231488.01,224236.03,6.37,360,07/31/2024,Approved,826
LN5311,phillip.evans@hotmail.com,Personal Loan,303296.59,214509.67,13.3,24,12/02/2025,Approved,516
LN5280,500265,Personal Loan,244137.99,177567.54,10.57,180,"Apr 20, 2023",Approved,501
LN5573,ashley.martinez@gmail.com,Mortgage,195380.61,161083.36,9.28,N/A,2022-08-24,approved,803
LN5092,rebekah.jordan@gmail.com,Auto Loan,74719.28,,,48,20240702,Denied,791
LN5375,500655,Student Loan,169571.02,133081.84,14.1,48,"Oct 11, 2025",Approved,635
LN5263,grace.mcgrath@hotmail.com,Business Loan,246041.31,239969.31,13.99,180,"Oct 09, 2022",Approved,614
LN5157,500059,Personal Loan,291339.55,,8.13,12,"Dec 02, 2024",Withdrawn,576
LN5027,500415,Student Loan,58988.93,,13.33,36,20-04-2026,Denied,789
LN5442,500599,Business Loan,276515.9,,10.09,24,01/18/2023,Withdrawn,651
LN5625,diane.neal@hotmail.com,Student Loan,4496.33,3360.63,8.3,120,03/20/2025,Approved,705
LN5524,500131,Business Loan,159737.71,144040.39,3.91,48,"Oct 15, 2022",Approved,739
LN5352,500365,Student Loan,236747.41,,9.8,360,29-08-2023,Pending Review,842
LN5334,500221,Business Loan,"$403,118.12",330568.34,null,24,20240602,Approved,586
LN5099,500670,Student Loan,294733.81,267730.46,7.48,120,2024-07-12,Approved,729
LN5570,MATTHEW.HARMON@HOTMAIL.COM,Business Loan,183382.7,,5.13,360,"Dec 12, 2022",Withdrawn,NULL
LN5467,calvin.johnson@yahoo.com,Business Loan,378193.64,,8.07,24,23-04-2026,Pending Review,594
LN5642,500698,Student Loan,120799.95,,14.38,120,20231204,Withdrawn,676
LN5257,500469,Business Loan,72226.83,59810.36,7.92,48,14/10/2023,Approved,846
LN5423,500429,Business Loan,273681.17,,4.47,48,08-04-2023,Withdrawn,612
LN5308,500185,Business Loan,404346.16,,10.22,n/a,29-11-2023,Withdrawn,711
LN5207,500659,Personal Loan,61247.59,,5.2,360,"Jan 29, 2025",Pending Review,617
LN5391,500403,Business Loan,308473.88,267949.12,9.21,24,"Apr 11, 2024",Approved,695
LN5236,pamela.melendez@yahoo.com,Student Loan,231586.4,,12.83,,20230208,Denied,744
LN5205,kelly.carey@yahoo.com,Business Loan,236466.12,193610.68 usd,11.38,360,12/29/2025,Approved,813
LN5107,500746,STUDENT LOAN,193704.03,136093.01,12.8,12,31/08/2025,Approved,605
LN5388,500625,Student Loan,60358.17,43316.68,5.65,12,20231125,Approved,555
LN5620,500000,Student Loan,226348.65,,3.53,24,"Jan 22, 2023",Denied,825
LN5240,500670,Business Loan,151749.36,,9.71,24,2023-12-16,Pending Review,599
ln5072,NATHANIEL.DAY@YAHOO.COM,Business Loan,157944.54,,14.2,n/a,20240311,Pending Review,716
LN5568,500524,Mortgage,422462.95,,13.41,24,2023-06-17,Withdrawn,745
LN5019,500367,Business Loan,263792.13,234238.36,4.12,48,2023-01-12,Approved,517
LN5225,500518,NULL,140626.36,,11.05,36,04/01/2024,PENDING REVIEW,645
LN5325,500008,Mortgage,206682.09,,6.43,180,"Feb 05, 2026",Denied,626
LN5007,500313,Personal Loan,427349.15,334984.84,6.63,360,20230131,Approved,616
LN5586,shawn.miller@hotmail.com,PERSONAL LOAN,227909.76,226433.6,12.31,60,02/04/2024,Approved,535
LN5426,500195,Personal Loan,427839.2,334221.68,5.44,12,02/28/2023,Approved,759
LN5365,500579,Business Loan,282508.38,,11.53,60,03/03/2024,pending review,792
LN5383,500022,Personal Loan,89160.27,83040.21,10.0,48,20250227,Approved,644
LN5390,500608,Business Loan,210426.14,208716.28,9.25,36,11-05-2023,Approved,690
LN5158,500357,Personal Loan,308825.64,,9.36,360,16-11-2025,Denied,813
LN5101,500198,  Auto Loan   ,372448.52,,9.54,360,20240201,Pending Review,663
LN5023,500378,Mortgage,367718.34,304074.59,8.78,48,13-08-2024,Approved,815
LN5165,500041,Student Loan,412679.95,,10.21,24,"Aug 14, 2024",Denied,796
LN5102,500559,Business Loan,329022.54,283495.85,6.69,48,"Jun 02, 2026",Approved,680
LN5374,500355,Student Loan,158930.21,158811.89,13.13,36,"Jan 16, 2023",Approved,598
LN5339,500603,Business Loan,417650.1,,5.78,60,08/04/2023,Denied,534
LN5451,lisa.smith@yahoo.com,Auto Loan,214584.43,152242.22,14.06,180,09/28/2022,Approved,601
LN5465,500019,Personal Loan,120851.57,120093.55,11.49,36,20250125,Approved,821
LN5528,500738,Business Loan,371724.46,345789.27,12.31,48,22-12-2023,Approved,518
LN5395,jim.jordan@yahoo.com,Auto Loan,57573.33,43237.82,7.25,180,"Sep 07, 2024",Approved,801
LN5463,500167,Business Loan,321262.23,,UNKNOWN,48,"Dec 12, 2025",Pending Review,683
LN5347,sean.mcdonald@hotmail.com,Mortgage,171679.07,"$139,875.78",14.76,36,20241116,Approved,N/A
LN5100,500136,Business Loan,17547.57,,13.86,12,27/10/2025,Withdrawn,781
LN5216,500643,Mortgage,null,,14.37,60,11-09-2022,Denied,501
LN5105,500743,Personal Loan,"$53,063.42",38658.16,8.81,60,2025-03-04,Approved,762
LN5143,500439,Personal Loan,430439.18,,4.56,12,20231229,Denied,663
LN5258,500167,Business Loan,202747.32,175752.96,5.63,12,10/03/2022,Approved,687
LN5373,500035,Student Loan,262660.31,255295.03,11.67,48,2023-06-25,Approved,582
LN5438,samuel.keller@hotmail.com,Student Loan,172257.13,136950.67,13.81,12,23/12/2025,Approved,605
LN5525,500045,Personal Loan,282017.24,201939.74,10.72,120,01/10/2026,Approved,725
LN5108,500723,Business Loan,"154,307.04",133929.85,14.42,120,2025-07-05,Approved,768
LN5404,500336,Business Loan,"$375,161.40",369561.34,6.92,360,07-01-2026,Approved,703
LN5083,500474,Mortgage,"$434,475.45",394948.48,,360,09/16/2025,   Approved   ,586
LN5410,ashlee.taylor@gmail.com,Auto Loan,441420.07,,3.66,60,20260429,Withdrawn,738
LN5639,500045,Personal Loan,unknown,,13.73,60,24/01/2026,Denied,665
LN5386,lindsay.roberts@gmail.com,Mortgage,218659.7,195774.02,3.69,48,"Nov 12, 2022",Approved,678
LN5073,500341,Personal Loan,219848.3,199136.14,6.2,48,20240318,Approved,UNKNOWN
LN5508,500559,Mortgage,295301.67,225704.63,4.59,36,07/09/2023,Approved,746
LN5113,500117,Mortgage,147595.4,,7.5,unknown,05-01-2026,Denied,685
LN5123,500407,Mortgage,38545.78,33022.39,3.79,24,06/09/2023,Approved,823
LN5626,500515,Business Loan,428977.43,,6.68,24,20241229,Withdrawn,559
LN5173,500481,Personal Loan,65612.76,53750.47,5.0,48,"May 02, 2023",Approved,742
LN5111,500407,Student Loan,181827.86,137225.85,7.59,120,13-01-2024,  Approved   ,727
LN5178,500548,Mortgage,329342.14,,3.74,120,20250310,Pending Review,830
LN5035,tiffany.curtis@hotmail.com,Auto Loan,265021.57,,7.3,36,2022-11-19,Pending Review,540
LN5507,500402,Business Loan,200650.64,,6.45,36,20240328,Denied,
LN5170,500363,Auto Loan,364340.6,,5.85,60,2022-08-24,Withdrawn,510
LN5153,500353,Auto Loan,309378.22,241311.5,5.67,12,"Oct 02, 2024",Approved,507
LN5340,500363,Business Loan,59847.26,,5.19,12,22-08-2025,Denied,698
LN5142,500255,Personal Loan,N/A,295819.89,11.08,48,10-07-2024,Approved,805
LN5245,misty.green@yahoo.com,Student Loan,283278.36,,12.55,12,20251231,Pending Review,741
LN5527,nathaniel.lutz@yahoo.com,Business Loan,N/A,,9.94,60,21-05-2026,Withdrawn,791
LN5439,500210,Personal Loan,70228.58,70126.77,10.09,120,01-11-2023,Approved,596
ln5046,  eric.cain@hotmail.com   ,Business Loan,"117,553.45",82376.09,14.57,120,20230926,approved,821
LN5518,500664,Auto Loan,250738.11,,8.78,120,20260505,Denied,830
LN5238,kimberly.higgins@hotmail.com,Student Loan,203216.78,,3.57,180,24-11-2025,Withdrawn,573
LN5132,mary.walters@hotmail.com,Auto Loan,"$331,807.08",295191.33,6.91,36,08/22/2023,Approved,793
LN5382,isabel.wolfe@yahoo.com,Student Loan,315382.48,,6.57,24,2025-01-09,Pending Review,586
LN5326,betty.garcia@gmail.com,Auto Loan,"$92,358.24",,9.71,48,07/12/2026,Withdrawn,776
LN5502,valerie.lee@gmail.com,Business Loan,338239.2,,6.49,60,2026-01-24,Withdrawn,849
LN5197,500724,Auto Loan,105588.37,94424.67,9.06,12,01/14/2024,Approved,781
LN5176,500070,Personal Loan,376628.51,,11.01,24,02/25/2024,Withdrawn,541
LN5416,500086,Mortgage,111196.62,"91,083.36",13.09,24,2023-08-06,Approved,538
LN5609,500309,Student Loan,334789.42,297953.67,7.59,120,07/01/2026,Approved,677
LN5441,500689,Auto Loan,422764.99,,13.59,48,01/20/2023,Pending Review,778
LN5098,veronica.cline@yahoo.com,Student Loan,,,13.64,48,20240410,Pending Review,704
LN5415,john.lawrence@hotmail.com,Mortgage,N/A,117990.7,10.34,120,13/06/2024,Approved,510
   ln5150   ,500348,Business Loan,56834.33,44463.79,10.65,36,20/07/2026,Approved,764
LN5510,500488,Business Loan,269261.6,234680.35,4.39,36,01/31/2025,Approved,562
LN5458,500329,Mortgage,52320.71,,12.97,180,2026-03-28,Denied,749
LN5328,michele.orozco@yahoo.com,Auto Loan,217528.05,194266.17,4.64,60,20260121,Approved,716
LN5026,ashley.harrington@hotmail.com,Personal Loan,214387.55,,4.07,60,20241204,Denied,556
LN5094,kimberly.hernandez@hotmail.com,Mortgage,179785.78,,13.97,60,12/22/2022,Pending Review,670
LN5367,500470,Personal Loan,383314.8,292932.93,8.45,60,29-03-2026,Approved,836
LN5629,500237,Business Loan,315781.94,279379.36,6.61,48,13/06/2024,Approved,595
LN5408,500648,Mortgage,385973.68,,9.8,360,13/08/2025,Denied,726
LN5610,500288,Personal Loan,50025.65,,9.82,120,2023-01-26,Pending Review,848
LN5151,500030,Business Loan,379658.75,340238.44,7.25,12,20220906,Approved,534
LN5276,500215,Personal Loan,369823.67,,4.54,60,20230915,Denied,516
LN5628,500451,Mortgage,296810.63,,12.38,48,03-05-2024,Pending Review,679
LN5081,500540,Mortgage,437932.41,,5.2,36,"Sep 23, 2023",Withdrawn,524
ln5226,500509,Personal Loan,244827.15,,3.6,360,20230221,Pending Review,750
LN5613,jason.oconnor@hotmail.com,Auto Loan,189017.86,145686.6,13.96,60,"Nov 15, 2024",Approved,724
LN5532,dale.fuller@yahoo.com,Mortgage,241063.44,198748.08,10.57,180,"Jul 18, 2024",Approved,654
LN5535,500691,Business Loan,106316.5,82286.83,5.73,60,20240819,Approved,754
LN5289,500091,Business Loan,393485.73,334170.46,4.8,24,06/19/2025,Approved,518
LN5469,henry.nielsen@yahoo.com,Auto Loan,"438,608.45",427991.83,9.27,48,"Oct 21, 2022",Approved,651
LN5543,500351,Auto Loan,118124.49,104499.16,6.45,36,"Nov 09, 2024",Approved,510
LN5217,debra.frost@yahoo.com,Student Loan,422984.83,393541.79,7.9,180,11/10/2022,Approved,647
LN5468,500053,Student Loan,132605.67,95958.42,11.62,48,10/25/2023,Approved,780
LN5096,500045,Student Loan,189588.18,162110.44,14.31,60,10/11/2025,Approved,unknown
LN5363,heather.wood@yahoo.com,Personal Loan,364652.41,297474.16,12.73,24,24-08-2022,Approved,578
LN5279,500524,Personal Loan,344772.32,279829.61,14.32,360,2025-03-05,Approved,510
LN5640,500698,  Student Loan   ,379841.73,,3.53,180,"Dec 11, 2024",Denied,805
ln5601,charles.merritt@hotmail.com,Business Loan,45669.03,35725.29,12.1,60,20250526,Approved,528
LN5223,500695,Personal Loan,389007.04,,14.53,180,2023-06-07,Pending Review,615
LN5598,500577,Student Loan,109246.21,80243.05,6.69,120,01/03/2024,Approved,501
LN5242,  500072   ,Business Loan,46816.08,,11.11,360,20230810,   Denied   ,537
LN5350,500352,Mortgage,434999.75,,13.62,24,"Sep 08, 2024",Pending Review,712
LN5497,tammy.watkins@hotmail.com,Mortgage,279846.57,240499.12,9.67,60,2023-06-15,aPPROVED,755
LN5589,500622,Student Loan,222609.12,188545.1,14.36,120,04/07/2025,Approved,545
LN5302,500133,Business Loan,382624.58,345518.3,9.81,60,"Jul 29, 2026",Approved,661
LN5602,james.morrison@gmail.com,Auto Loan,423102.05,,13.39,360,2023-02-08,Pending Review,591
ln5104,ashlee.taylor@gmail.com,aUTO lOAN,357228.62,,13.14,12,05/20/2025,Denied,516
LN5418,jeffery.miles@hotmail.com,-,389204.72,,12.41,360,03-01-2024,Pending Review,785
LN5505,peter.brooks@hotmail.com,Student Loan,440519.37,,5.13,60,31/12/2025,Pending Review,603
LN5137,500335,,414026.23,,4.21,-,13-04-2025,Withdrawn,780
LN5587,500136,Student Loan,396495.33,,6.45,48,30/07/2024,Denied,652
LN5077,500233,Auto Loan,361193.79,303092.97,6.61,12,06/29/2026,Approved,595
LN5485,brenda.manning@yahoo.com,Mortgage,83384.31,70898.93,10.77,48,06/07/2026,Approved,793
LN5523,lynn.ferguson@yahoo.com,Student Loan,76578.87,55174.47 usd,5.83,24,"Nov 03, 2025",Approved,749
LN5387,500614,Business Loan,NULL,,14.26,60,16-10-2022,Withdrawn,790
LN5477,500501,Personal Loan,25457.25,"$24,329.99",10.17,180,2025-07-14,Approved,509
LN5456,500308,Student Loan,302827.23,296793.09,10.37,24,06/05/2023,Approved,839
LN5650,500673,Student Loan,89500.02,71811.78,12.06,48,20240530,Approved,678
LN5513,500345,Mortgage,240115.24,203362.18,12.46,60,20221024,APPROVED,603
LN5029,blake.rivers@yahoo.com,Business Loan,145698.89,110721.53,9.12,60,"Jun 07, 2025",Approved,UNKNOWN
LN5243,500533,Student Loan,318021.36,271099.77,9.04,12,08/06/2023,Approved,792
