customer_id,customer_key,first_name,last_name,dob,email,phone,city,state,customer_segment,join_date,credit_score
500530,CUST500530,Jay,Trujillo,19690107,jay.trujillo@hotmail.com,001-223-288-9907x8708,Philadelphia,FL,Small Business,"Apr 08, 2019",308
500286,CUST500286,John,Garcia,"Jun 26, 1959",john.garcia@gmail.com,851.691.7037,Columbus,NJ,RETAIL,"Nov 30, 2014",487
500422,CUST500422,Lynn,Willis,12/21/1966,lynn.willis@hotmail.com,001-757-604-4165x84139,Charlotte,CA,Small Business,27/06/2017,294
500643,CUST500643,Shelly,Howard,25-11-1977,shelly.howard@yahoo.com,774-274-0370x5119,Newark,NY,Small Business,12/08/2021,824
500172,CUST500172,Michael,Schroeder,"Nov 13, 1966",michael.schroeder@gmail.com,852.944.8024x3030,Philadelphia,AZ,Private Banking,12/12/2024,28
500496,CUST500496,Jason,Herrera,23-05-1944,jason.herrera@yahoo.com,(954)437-9859x66141,Los Angeles,OH,Small Business,2025-04-11,null
500376,CUST500376,Benjamin,French,1967-01-29,benjamin.french@gmail.com,8107677519,Detroit,FL,Retail,"Mar 30, 2017",391
500502,CUST500502,michael,Robertson,19581219,michael.robertson@hotmail.com,+1-206-688-0695,new york,NJ,Private Banking,15-04-2026,711
500655,CUST500655,Jennifer,Hess,1978-08-20,jennifer.hess@hotmail.com,+1-704-340-6995x763,Seattle,PA,Retail,25/03/2024,336
500042,CUST500042,Denise,Warren,19690927,denise.warren@hotmail.com,(555)872-1014x1561,Phoenix,AZ,null,04/27/2018,831
500135,CUST500135,Kristopher,VAZQUEZ,21-11-1935,kristopher.vazquez@gmail.com,001-400-532-7894,Houston,CO,Small Business,"Mar 25, 2018",832
500318,CUST500318,Evan,Barber,05/11/1975,evan.barber@yahoo.com,382-922-2219x124,Newark,NY,Small Business,18-11-2018,413
500236,CUST500236,James,Campos,11/10/1996,james.campos@gmail.com,001-790-715-3608x4852,Boston,TX,Private Banking,18/02/2018,unknown
500552,CUST500552,Dana,Harper,29-03-1990,dana.harper@gmail.com,658-992-9063,Houston,MA,Private Banking,25-03-2021,407
500087,CUST500087,Grace,Mcgrath,"Feb 27, 1985",grace.mcgrath@hotmail.com,653-845-7769x152,Atlanta,GA,Small Business,04/05/2020,417
500519,CUST500519,Joseph,Rodriguez,19640927,joseph.rodriguez@yahoo.com,808.937.6592,New York,NY,Small Business,2014-11-09,452
500707,CUST500707,Pamela,Jones,01/05/1990,pamela.jones@gmail.com,001-524-969-1223x9991,Boston,NC,Retail,2016-09-22,595
500671,CUST500671,Morgan,Gallagher,03-02-1966,morgan.gallagher@hotmail.com,(693)873-4243x1967,Miami,MI,Retail,20241123,313
500193,CUST500193,Cindy,  Mills   ,02/12/1994,cindy.mills@hotmail.com,609.740.9248,New York,NJ,Small Business,2017-08-13,226
500668,cust500668,Brittany,Bradley,06/08/1956,brittany.bradley@hotmail.com,848-686-6304,Phoenix,NJ,Retail,02/04/2018,117
500038,CUST500038,Jose,Gibbs,"Sep 08, 1935",jose.gibbs@yahoo.com,253-578-3830x640,Chicago,FL,Retail,2021-01-03,634
500350,CUST500350,Samuel,Smith,19931127,samuel.smith@gmail.com,+1-989-892-2416,Houston,MI,Private Banking,18-08-2017,414
500334,CUST500334,Daniel,Morris,08/11/1944,daniel.morris@hotmail.com,530.599.9341,Houston,PA,Retail,20150108,355
500192,CUST500192,Shawn,Miller,"Jun 23, 1964",shawn.miller@hotmail.com,977-528-2025,Houston,CO,Retail,25/06/2026,824
500300,CUST500300,Brian,Shaffer,29-04-1946,brian.shaffer@gmail.com,(841)312-8812x63076,Phoenix,WA,Private Banking,27-04-2017,
500504,CUST500504,Andrew,Martin,"Apr 26, 1983",andrew.martin@hotmail.com,+1-368-920-6703x71316,Phoenix,OH,Small Business,UNKNOWN,145
500394,CUST500394,Brad,Jones,02/05/1984,brad.jones@yahoo.com,(584)351-2856,Boston,MA,Small Buusiness,24-10-2022,730
500614,CUST500614,Matthew,Arnold,24-07-2003,matthew.arnold@gmail.com,001-569-722-1046,Charlotte,TX,Private Banking,"Nov 13, 2022",736
500521,CUST500521,Justin,Gibson,21-07-1946,justin.gibson@hotmail.com,(624)886-5878x50110,Chicago,unknown,Retail,"Feb 26, 2018",840
500619,CUST500619,Lynn,Ferguson,"Apr 16, 1961",lynn.ferguson@yahoo.com,+1-921-870-0266x728,Seattle,GA,Retail,05/07/2020,393
500517,CUST500517,Adam,Robertson,19760512,adam.robertson@hotmail.com,(749)247-3237,Houston,NJ,Private Banking,"Oct 28, 2023",665
500227,CUST500227,Kimberly,Edwards,19460914,kimberly.edwards@yahoo.com,+1-286-614-6568x41470,Los Angeles,MA,Retail,16-08-2023,320
500326,CUST500326,Heather,Richardson,"Aug 06, 1987",heather.richardson@yahoo.com,820.321.8632x411,MIAMI,IL,Small Business,26/11/2017,UNKNOWN
500347,CUST500347,Maria,Ayers,12-09-1951,maria.ayers@hotmail.com,724.960.3137,Newark,TX,Private Banking,10/30/2017,443
500419,CUST500419,Briana,Wallace,unknown,briana.wallace@gmail.com,(546)876-2506x4285,Denver,NJ,Private Banking,"Mar 30, 2023",403
500492,CUST500492,Michele,Harrington,27-10-1956,  michele.harrington@gmail.com   ,7073519256,Denver,OH,Small Business,20260612,458
500582,CUST500582,Cindy,Day,01/30/1953,cindy.day@gmail.com,538.645.4673x7716,Newark,GA,pRIVATE bANKING,20220226,421
500008,CUST500008,James,Hanson,2001-04-29,james.hanson@yahoo.com,+1-851-316-3726x5167,Boston,NC,Retail,20240813,146
500612,CUST500612,Timothy,Jones,"Sep 21, 1961",timothy.jones@yahoo.com,001-861-802-1365x40855,Charlotte,WA,Private Banking,05/02/2024,694
500407,CUST500407,Sarah,Cruz,19940328,sarah.cruz@yahoo.com,380-237-2135x9631,Miami,MA,Private Banking,22/03/2020,749
500160,CUST500160,Alyssa,Cunningham,15-07-1964,alyssa.cunningham@gmail.com,981.534.1384,Los Angeles,NJ,Private Banking,19/12/2015,427
500410,CUST500410,Dustin,Hunt,1994-02-25,dustin.hunt@yahoo.com,441-531-7591x888,Miami,IL,small business,03-03-2016,53
500596,CUST500596,Kathryn,Stone,19640214,kathryn.stone@hotmail.com,null,Boston,N/A,Small Business,2023-09-01,742
500404,CUST500404,Nathaniel,Brown,27-02-1984,nathaniel.brown@hotmail.com,430.350.1451x7288,New York,IL,Private Banking,08-05-2017,554
500506,CUST500506,Trevor,   Brown   ,03/01/1944,trevor.brown@hotmail.com,5792976468,NEWARK,FL,Retail,05/06/2016,693
500288,CUST500288,Nicole,Wade,10/13/1950,nicole.wade@yahoo.com,N/A,Philadelphia,OH,Retail,12/03/2018,UNKNOWN
500698,CUST500698,Blake,Rivers,1952-07-07,blake.rivers@yahoo.com,(713)537-7416,Columbus,IL,UNKNOWN,01/16/2019,760
500600,CUST500600,Allison,Pittman,08/07/1942,allison.pittman@yahoo.com,(397)762-9290x32459,Miami,PA,Retail,24/09/2021,527
500463,CUST500463,Christine,Ellis,,christine.ellis@yahoo.com,525-855-6790x2235,Houston,AZ,Small Business,2015-08-18,null
500369,CUST500369,   Timothy   ,Hancock,25-11-1973,timothy.hancock@hotmail.com,854.541.4360,Phoenix,IL,Private Banking,20160424,626
500479,CUST500479,Jerome,Davis,10/03/1969,jerome.davis@gmail.com,884.904.9778,Boston,AZ,Retail,20-12-2023,215
500265,CUST500265,Chad,Molina,22/05/1948,chad.molina@gmail.com,564.889.1737x89588,New York,CA,Private Banking,"Apr 02, 2016",521
500616,CUST500616,Pamela,Rivas,05-01-1979,pamela.rivas@gmail.com,8768469954,Newark,PA,Retail,26/02/2020,378
500372,CUST500372,   Michael   ,Martin,"Mar 04, 1942",michael.martin@hotmail.com,+1-259-763-4950x8581,Philadelphia,WA,Small Business,20260429,844
500064,CUST500064,Robert,Diaz,"Feb 02, 1939",robert.diaz@hotmail.com,+1-800-600-9541x8583,Philadelphia,MI,Private Banking,"Jun 03, 2020",354
500235,CUST500235,Shawn,Fleming,27-04-1987,shawn.fleming@yahoo.com,+1-531-662-4318x073,Newark,PA,Private Banking,01/08/2020,518
500621,CUST500621,Isabel,Wolfe,"Jun 12, 1965",isabel.wolfe@yahoo.com,371-925-5324,Philadelphia,IL,Private Banking,22/11/2025,689
500470,CUST500470,Dillon,Hunter,25/03/2006,dillon.hunter@yahoo.com,(415)675-8622,Atlanta,MA,Retail,03/11/2025,760
500019,CUST500019,Sean,Powers,1955-05-09,sean.powers@yahoo.com,9003883873,Los Angeles,WA,Small Business,06-03-2024,-
500679,CUST500679,  Adam   ,Fowler,18/02/1946,adam.fowler@gmail.com,955-959-0211,Columbus,GA,Retail,08/27/2022,655
500168,CUST500168,Adam,Riley,12/20/1959,adam.riley@yahoo.com,+1-402-224-6418x459,New York,TX,Retail,20141106,633
500132,CUST500132,Steven,Williams,1984-12-19,steven.williams@gmail.com,+1-918-831-6586x89236,Seattle,CO,Rettail,01/01/2020,504
500385,CUST500385,Christina,Watson,19460913,null,+1-313-740-4514x78271,Chicago,IL,Retail,18-11-2022,824
500450,CUST500450,Melody,Martinez,04/29/1959,melody.martinez@hotmail.com,(299)728-0123x32556,Columbus,CA,Retail,2014-08-17,446
500028,CUST500028,Charles,Hunter,18-03-2008,UNKNOWN,431.691.2845,Denver,CO,Private Banking,12/06/2026,341
500013,CUST500013,Holly,  Mcdowell   ,05/20/2004,holly.mcdowell@hotmail.com,572.861.6751,Seattle,NY,Small Business,11/09/2017,231
500045,CUST500045,Sandra,Evans,11-04-1988,sandra.evans@hotmail.com,903-417-7646,Seattle,MA,Small Business,2021-09-12,311
500574,CUST500574,Brenda,Manning,"Apr 08, 1943",brenda.manning@yahoo.com,5817367667,Phoenix,N/A,Retail,05-05-2017,497
500343,CUST500343,Kevin,Harris,2006-09-03,kevin.harris@hotmail.com,475.292.5778,Miami,NJ,Retail,"Dec 27, 2023",544
500701,CUST500701,Mary,Walters,10-12-1975,mary.walters@hotmail.com,445-605-4032x76355,Philadelphia,PA,Small Business,2016-11-22,null
500112,CUST500112,John,Johnson,14/04/1977,john.johnson@gmail.com,n/a,Los Angeles,AZ,Small Business,02/19/2018,796
500055,CUST500055,Dustin,Campbell,25-08-1973,dustin.campbell@gmail.com,(473)542-0750x9619,Houston,CO,-,2025-08-18,396
500366,CUST500366,Jonathan,Warner,,jonathan.warner@gmail.com,(872)814-1278x6036,Miami,GA,Private Banking,28-10-2022,384
500724,CUST500724,Catherine,Martin,03/10/1983,catherine.martin@hotmail.com,975-365-4771,Miami,NY,Retail,10/04/2015,730
500081,CUST500081,Heather,Mason,UNKNOWN,heather.mason@gmail.com,496-303-6996x393,Columbus,WA,Retail,20200215,715
500393,CUST500393,Benjamin,Porter,28-11-1972,benjamin.porter@gmail.com,8543133747,Atlanta,AZ,Retail,27/06/2022,335
500282,CUST500282,Cassandra,Roberts,1969-07-25,cassandra.roberts@hotmail.com,(937)418-5304,Seattle,PA,Retail,02/19/2023,332
500702,CUST500702,Jim,jordan,09-07-1952,jim.jordan@yahoo.com,+1-503-294-0876,Boston,PA,Retail,06/01/2025,716
500447,CUST500447,Anthony,  Fox   ,10/13/1981,anthony.fox@yahoo.com,(253)659-3843x03580,Houston,OH,Private Banking,05-01-2017,798
500309,CUST500309,Dana,Bennett,1953-10-15,dana.bennett@gmail.com,770.411.0379x714,Houston,WA,Small Business,20240424,212
500449,CUST500449,Andrew,peterson,1961-01-26,andrew.peterson@gmail.com,508.861.7114x061,Phoenix,OH,Small Business,"May 30, 2015",625
500034,CUST500034,Christopher,pETERSON,02/04/1942,christopher.peterson@yahoo.com,001-630-766-6836,Phoenix,GA,Private Banking,-,541
500748,CUST500748,Jason,Martin,1990-11-12,jason.martin@gmail.com,5516512923,Seattle,CA,Private Banking,29/05/2022,842
500016,CUST500016,Traci,Kramer,unknown,traci.kramer@yahoo.com,902-742-6462x889,Denver,TX,Small Business,2015-11-08,340
500096,CUST500096,Andrew,Knight,"Oct 26, 1977",andrew.knight@yahoo.com,001-280-816-9671,Chicago,OH,Private Banking,2025-06-28,671
500586,CUST500586,Melissa,Cherry,UNKNOWN,melissa.cherry@hotmail.com,4849510026,Phoenix,GA,private banking,2018-08-29,486
500243,CUST500243,   Blake   ,Mcdonald,07/23/1970,blake.mcdonald@hotmail.com,822-282-9851,Boston,NY,Retail,31-12-2025,65
500026,CUST500026,Troy,   Reyes   ,19700728,troy.reyes@gmail.com,+1-931-292-5449x920,Houston,TX,Retail,2022-10-01,794
500039,CUST500039,tyrone,Craig,07/04/1966,tyrone.craig@hotmail.com,(553)970-5656x30481,Philadelphia,GA,Private Banking,"Sep 01, 2017",536
500587,CUST500587,Lindsay,Wilson,04-03-1973,  lindsay.wilson@hotmail.com   ,812-272-9815,Atlanta,AZ,Private Banking,"Jun 10, 2026",329
500314,CUST500314,Stacy,Walters,05-04-1975,stacy.walters@hotmail.com,(353)893-4439,Denver,WA,-,17-11-2024,771
500522,CUST500522,Daniel,Holloway,31/10/1953,daniel.holloway@hotmail.com,558.410.1935,Detroit,NJ,private banking,2026-01-05,702
500716,CUST500716,Colleen,Turner,12/09/1943,colleen.turner@gmail.com,001-409-223-8059x270,Houston,NJ,Private Banking,20231129,531
500591,CUST500591,Jason,Barton,"Aug 12, 1998",jason.barton@yahoo.com,+1-385-795-0040x242,Detroit,NJ,pRIVATE bANKING,07-11-2014,485
500599,CUST500599,  Charles   ,Butler,19600423,charles.butler@gmail.com,(974)322-5905,Boston,FL,Small Business,2018-07-25,UNKNOWN
500391,CUST500391,Ronald,Smith,20080413,ronald.smith@hotmail.com,+1-311-534-6365x97656,Atlanta,NC,Retaiil,2023-04-14,385
500320,cust500320,Matthew,Hubbard,31-10-1951,matthew.hubbard@gmail.com,N/A,Columbus,WA,Private Banking,02-08-2022,454
500340,CUST500340,Mark,Kirk,04/27/1960,mark.kirk@yahoo.com,660.523.8756,Chicago,CO,NULL,30-07-2019,56
500008,CUST500008,James,Hanson,2001-04-29,james.hanson@yahoo.com,+1-851-316-3726x5167,Boston,NC,Retail,20240813,146
500686,CUST500686,Katie,Garcia,18/10/1976,katie.garcia@gmail.com,+1-819-599-4716x13698,Seattle,CO,Retail,20171014,533
500278,CUST500278,Kimberly,Rodriguez,19400918,kimberly.rodriguez@yahoo.com,948-737-5765,Columbus,TX,Retail,2019-03-20,449
500739,CUST500739,Tina,Todd,04-05-1961,tina.todd@gmail.com,604.215.5379x79525,Denver,GA,-,"May 30, 2024",null
500431,CUST500431,Lisa,Smith,,lisa.smith@yahoo.com,787-205-6297x2998,philadelphia,OH,Private Banking,20170514,430
500113,CUST500113,David,Fischer,19-06-2006,david.fischer@yahoo.com,431.264.6204,Seattle,OH,Retail,10/02/2019,N/A
500149,CUST500149,Bradley,Park,19940604,bradley.park@hotmail.com,(838)343-0255,Miami,GA,Private Banking,"Sep 18, 2017",664
500184,CUST500184,Holly,Chandler,1939-02-17,holly.chandler@gmail.com,417-328-6023,Chicago,CO,Small Business,03-04-2025,711
500726,CUST500726,   Patricia   ,  Moreno   ,08/13/1993,NULL,+1-553-538-3328x3382,New York,MA,Small Business,2017-01-12,803
500576,CUST500576,Tiffany,Todd,19861228,tiffany.todd@gmail.com,+1-205-349-5363,Atlanta,MI,Private Banking,"Dec 13, 2017",52
500405,CUST500405,Zachary,Hernandez,01/20/1963,zachary.hernandez@hotmail.com,001-357-917-5635x07733,Charlotte,FL,Retail,2018-03-21,330
500211,CUST500211,Taylor,Martin,1974-09-10,unknown,546.383.2388,Boston,MA,Retail,"Aug 22, 2020",780
500578,CUST500578,Mallory,Moore,2008-04-02,mallory.moore@gmail.com,934.634.1014x4582,Philadelphia,FL,Small Business,31-12-2023,UNKNOWN
500594,CUST500594,Jennifer,Ward,09/03/1990,jennifer.ward@gmail.com,(824)478-6185,Atlanta,AZ,retail,20200118,649
500434,CUST500434,Margaret,Jones,"Aug 18, 1944",margaret.jones@gmail.com,+1-863-633-3350,Houston,NC,   Private Banking   ,20/09/2018,522
500202,CUST500202,Joshua,Flynn,11/19/1956,joshua.flynn@hotmail.com,+1-376-973-3026x102,Detroit,MA,Small Business,2023-01-26,404
500281,CUST500281,John,Hughes,1994-07-05,john.hughes@yahoo.com,537-481-1467,Seattle,TX,Retail,01/14/2023,735
500052,CUST500052,Lori,Ortiz,"Sep 29, 1962",lori.ortiz@gmail.com,407.387.1616,Seattle,CO,Retail,20220101,578
500060,CUST500060,Mercedes,Ferrell,17-01-1989,mercedes.ferrell@gmail.com,(474)723-1594,Atlanta,GA,Private Banking,04/24/2024,834
500136,CUST500136,Robert,Martinez,"Jan 18, 1947",N/A,2112287796,Phoenix,GA,Private Banking,2023-08-27,322
500006,CUST500006,katherine,Evans,15-07-1982,katherine.evans@yahoo.com,552.553.8885x39336,   Chicago   ,FL,Retail,20150909,818
500127,CUST500127,Zachary,Flowers,15/06/1961,zachary.flowers@hotmail.com,626.355.2399,Charlotte,FL,Private Banking,10/09/2023,829
500461,CUST500461,Rebekah,Jordan,13/11/1969,rebekah.jordan@gmail.com,266.944.6470x7758,Denver,CA,Small Business,"May 15, 2023",522
500575,CUST500575,Lindsay,Roberts,21/11/2002,lindsay.roberts@gmail.com,+1-902-418-8842x67341,Houston,CO,Retail,08-06-2016,645
500538,CUST500538,Debra,Frost,19830110,debra.frost@yahoo.com,5386763560,Miami,AZ,Private Banking,2020-09-30,356
500408,CUST500408,Catherine,Smith,01/18/2003,catherine.smith@hotmail.com,+1-544-406-9480x42733,Atlanta,MA,,2019-10-30,761
500317,CUST500317,richard,Terry,06-07-1940,richard.terry@yahoo.com,848-826-5000,Miami,MA,Private Banking,2024-06-30,370
500484,CUST500484,Kristin,Flowers,19881203,kristin.flowers@hotmail.com,944-737-9464x83224,Atlanta,NY,Private Banking,"Apr 22, 2016",489
500352,cust500352,bRENDA,Lee,"Sep 30, 1982",brenda.lee@gmail.com,6375091863,Atlanta,-,Small Business,24-05-2020,744
500473,CUST500473,Tanya,Lin,19440906,tanya.lin@yahoo.com,497.213.3209,NEWARK,TX,Retail,15/01/2024,442
500031,CUST500031,Juan,Williams,1983-12-05,juan.williams@gmail.com,846.585.3560,Detroit,WA,Smalll Business,2022-03-03,435
500003,CUST500003,Rachel,Deleon,19990612,rachel.deleon@yahoo.com,(766)217-6031x3721,Miami,IL,Retail,20240210,524
500209,CUST500209,cody,Arnold,15-02-1993,cody.arnold@yahoo.com,7003891626,Philadelphia,OH,Retail,20210913,642
500571,CUST500571,Marie,jUAREZ,19700625,marie.juarez@yahoo.com,857.797.7593x6601,Denver,OH,Private Banking,20210419,416
500023,CUST500023,Phillip,Evans,07/27/1981,phillip.evans@hotmail.com,001-429-265-7249x20868,Los Angeles,GA,Small Business,08/11/2015,759
500231,CUST500231,Deborah,Hutchinson,19630829,deborah.hutchinson@hotmail.com,399-784-9334,Phoenix,PA,Small Business,"Apr 13, 2025",513
500491,CUST500491,Lucas,Palmer,13-06-1973,lucas.palmer@yahoo.com,(753)987-8251,Newark,AZ,Private Banking,28/02/2016,748
500296,CUST500296,Jacqueline,Rasmussen,"Jan 19, 1965",jacqueline.rasmussen@yahoo.com,656-427-9800x75866,Newark,null,Retail,20181028,368
500040,CUST500040,Tara,Collins,06/19/1995,tara.collins@gmail.com,441-897-9237x609,Miami,CA,Small Business,20170509,580
500196,CUST500196,Christopher,Griffin,23-04-1964,christopher.griffin@hotmail.com,001-901-499-7766x72176,Phoenix,TX,Retail,20190718,493
500441,CUST500441,michele,Johnson,10/23/1974,michele.johnson@gmail.com,452.466.9463x018,Chicago,NY,Private Banking,06/14/2021,458
500361,CUST500361,Ann,Butler,01/27/1938,ann.butler@yahoo.com,001-871-711-6480,Phoenix,N/A,Small Business,20191124,166
500311,CUST500311,Crystal,Patel,1998-01-03,crystal.patel@gmail.com,(775)806-3778x34281,Columbus,CA,private banking,11/21/2019,572
500741,cust500741,Kevin,Madden,1950-04-19,kevin.madden@gmail.com,918.829.7268x2512,Boston,NY,Small Business,20161215,782
500505,CUST500505,Jeffery,Miles,"Apr 13, 1948",jeffery.miles@hotmail.com,569-647-0658,Miami,WA,Small Business,20221028,714
500512,CUST500512,Kyle,Garner,07/23/1980,kyle.garner@hotmail.com,226.621.2186x04788,Los Angeles,WA,Small Business,10-06-2025,63
500639,CUST500639,Steven,Wong,19651210,steven.wong@hotmail.com,001-237-390-4918,Seattle,NC,Private Banking,09-07-2015,438
500628,CUST500628,Janet,Jones,10-10-1944,janet.jones@gmail.com,001-978-265-3665x8653,HOUSTON,TX,rETAIL,23-02-2023,668
500471,CUST500471,Stephanie,Powell,27-12-1991,stephanie.powell@gmail.com,001-716-323-1330x51168,Denver,CA,Small Business,11-05-2020,509
500183,CUST500183,Christopher,  Morgan   ,08/27/2002,   christopher.morgan@yahoo.com   ,5938300289,Seattle,GA,Small Business,20-02-2023,831
500262,CUST500262,Kyle,Mueller,05/21/1955,kyle.mueller@yahoo.com,5622560952,Philadelphia,FL,Retail,2026-03-21,541
500155,CUST500155,John,Williams,1976-12-26,john.williams@hotmail.com,(403)476-7249x9123,Phoenix,CA,sMALL bUSINESS,2022-02-01,332
500206,CUST500206,Steven,Chandler,12/25/1966,steven.chandler@gmail.com,7512388147,Detroit,TX,Private Banking,09/10/2022,481
500338,CUST500338,Heather,Jones,09/01/2001,heather.jones@gmail.com,(768)674-5852x18871,Charlotte,GA,Private Banking,16/10/2016,396
500275,CUST500275,John,Green,19660708,john.green@hotmail.com,5034038437,Phoenix,MI,Small Business,12/15/2020,406
500015,CUST500015,Virginia,Powell,19660510,virginia.powell@gmail.com,001-350-358-7706x5894,Philadelphia,TX,Small Business,20181107,756
500660,CUST500660,Richard,Cabrera,24/08/2000,richard.cabrera@gmail.com,(286)442-0398,Charlotte,MA,Private Banking,2018-09-11,700
500656,CUST500656,Connie,  Stevens   ,2003-06-07,connie.stevens@hotmail.com,457.879.3457x3844,Los Angeles,TX,Small Business,"Nov 27, 2020",unknown
500002,CUST500002,Edward,Barrett,1936-06-25,edward.barrett@gmail.com,240-926-8599x528,Los Angeles,PA,Retail,20240703,820
500301,cust500301,Crystal,Fletcher,14/09/1948,crystal.fletcher@yahoo.com,3109210052,Columbus,NJ,Retail,09-02-2016,400
500608,CUST500608,Ethan,Cooper,1986-01-24,ethan.cooper@yahoo.com,871.857.1472x64867,Chicago,TX,Retail,"May 29, 2025",null
500051,CUST500051,Carrie,Hampton,1984-02-18,carrie.hampton@hotmail.com,+1-595-230-5520x340,Charlotte,TX,Private Banking,05/09/2014,810
500482,CUST500482,Jasmine,Middleton,N/A,jasmine.middleton@gmail.com,976-352-2950x118,Atlanta,NY,Small Business,04/17/2022,493
500214,CUST500214,Christopher,Malone,10/23/1978,christopher.malone@yahoo.com,(760)313-2822x52333,Columbus,TX,Small Business,10/12/2016,798
500341,CUST500341,Gerald,Bush,19470814,gerald.bush@hotmail.com,9065356078,Detroit,NC,Small Busineess,12/07/2025,389
500342,CUST500342,Amber,Jones,1948-05-04,amber.jones@hotmail.com,629.628.5488x27912,Denver,OH,Small Business,"Oct 27, 2016",487
500333,CUST500333,Melissa,Macdonald,19661016,melissa.macdonald@yahoo.com,211.747.8694x06626,Detroit,FL,Private Banking,22/11/2016,738
500646,CUST500646,Joshua,Golden,06/09/1954,joshua.golden@gmail.com,001-664-250-8197,Chicago,AZ,Small Business,2025-04-13,255
500711,CUST500711,Bonnie,hOWARD,"Oct 03, 1990",bonnie.howard@gmail.com,7032551381,Phoenix,FL,Retail,2022-02-11,804
500061,CUST500061,Peggy,Hill,"Feb 22, 1995",peggy.hill@hotmail.com,439.649.8355x0326,Detroit,WA,Small Business,24-04-2016,96
500411,CUST500411,Derrick,Davis,28-06-1952,derrick.davis@gmail.com,(920)417-7364x32897,Houston,FL,Private Banking,20170429,578
500152,CUST500152,James,Miles,22/04/1968,james.miles@yahoo.com,379.754.2810x077,Houston,PA,Retail,null,410
500237,CUST500237,  Kevin   ,Williams,22-05-1948,kevin.williams@gmail.com,001-971-451-2577x155,Columbus,CA,Retail,20181102,497
500364,CUST500364,Andrew,Bryant,09/05/1959,andrew.bryant@hotmail.com,+1-681-618-7535x1588,Denver,CO,Private Banking,02/28/2021,236
500181,CUST500181,Stephanie,  Taylor   ,05-07-1957,stephanie.taylor@gmail.com,unknown,COLUMBUS,NY,Private Banking,20150828,758
500324,CUST500324,Brian,Lee,24/10/1954,brian.lee@yahoo.com,374.931.7974x19722,Newark,MI,Retail,02/03/2022,691
500744,CUST500744,Angela,Lyons,1998-04-24,angela.lyons@yahoo.com,328.392.8112,Charlotte,MA,Retail,"Feb 14, 2026",648
500421,CUST500421,Suzanne,Davis,1943-07-26,suzanne.davis@yahoo.com,693-344-5091x90029,New York,CA,UNKNOWN,20180220,115
500710,CUST500710,maria,Adams,11/22/2000,maria.adams@gmail.com,001-903-271-4330,Boston,NJ,Small Business,16-07-2024,554
500513,CUST500513,Casey,Roman,11/15/1954,casey.roman@hotmail.com,+1-222-472-0558x02310,Phoenix,UNKNOWN,Small Business,2015-07-02,403
500442,CUST500442,Jonathan,Aguirre,"Jul 03, 1998",jonathan.aguirre@gmail.com,001-300-995-5006x433,Newark,OH,Private Banking,20250208,455
500567,CUST500567,Andrew,Graham,19701128,andrew.graham@gmail.com,(471)262-7920x422,Miami,MA,Retail,"Apr 17, 2016",636
500374,CUST500374,Jason,Contreras,01-05-1949,jason.contreras@hotmail.com,970.820.2711x700,Atlanta,NJ,Retail,07/29/2018,521
500205,CUST500205,Kyle,Scott,30/08/1975,kyle.scott@hotmail.com,360.556.2438,Denver,IL,Retail,20170227,700
